userId,nickname,content,likedCount
8070214220,塞下饯行,你们不是听泰格西rapeter吗怎么开始转发非洲娃了,791
1713269541,wxhca,一晚上能free出来25首也是难为非洲娃了[笑哭了],200
3220374252,apuriko,你们不是还在年轻小伙开supra吗 怎么转起非洲娃了✋🥵✋,173
1340020173,L1k-rue,我劣质耳机快炸了你知道吗,160
9027299236,墓碑王,这收藏跟转发 一切为了小众🤜🤛,103
1555257395,賈斯丁真,不如carti 卡蒂能free三十首,96
300712300,saucemodez,经典踩一捧一秀自己仅有的一点审美环节,91
4015485017,w鼠尾草草w,你们不是听泰格西rapeter吗怎么开始转发非洲娃了,77
1326842954,紫陽張ZZyan,骗你的，其实好耳机也炸,57
531666696,Oyster05,这都啥啊 还不如洗牌呢🤣,55
1618798463,Censed丶初衣,弟娃昌都飘不起，朋友圈秀音乐品味,45
3305429275,鸽勾勒,我搜新秀的gameboi咋到这了,40
5127953430,SUKAK1LLMYS3LF,网易云应该设置一个评论屏蔽词,34
8041070846,Zmoremua,原来不是发名字叫gemeboi的歌！！,28
2135482994,還不謝我給妳解脫,鬼哭狼嚎……真不知道怎么火的 这种噪音也有人听？现在的说唱真不知道怎么成这样了……,26
10641781,-絲綢物語,被困在2008,10
