research_field,institution,country_region,web_of_science_documents,cites,cites_per_paper,top_papers,file_name
AGRICULTURAL SCIENCES   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,346.0,6513.0,18.82,4.0,1.csv
MATERIALS SCIENCE   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2720.0,93969.0,34.55,57.0,11.csv
MATHEMATICS   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2019.0,11984.0,5.94,22.0,12.csv
MOLECULAR BIOLOGY & GENETICS   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,532.0,20568.0,38.66,6.0,14.csv
NEUROSCIENCE & BEHAVIOR   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,771.0,14295.0,18.54,7.0,16.csv
PHARMACOLOGY & TOXICOLOGY   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,289.0,5693.0,19.7,5.0,17.csv
PHYSICS   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,3495.0,50802.0,14.54,47.0,18.csv
PLANT & ANIMAL SCIENCE   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,1375.0,21843.0,15.89,26.0,19.csv
BIOLOGY & BIOCHEMISTRY   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,897.0,20837.0,23.23,18.0,2.csv
PSYCHIATRY/PSYCHOLOGY   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,1460.0,15243.0,10.44,7.0,20.csv
SOCIAL SCIENCES,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2176.0,27524.0,12.65,51.0,21.csv
CHEMISTRY   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,5420.0,164390.0,30.33,157.0,3.csv
CLINICAL MEDICINE   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,940.0,16875.0,17.95,12.0,4.csv
COMPUTER SCIENCE   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,1803.0,22336.0,12.39,25.0,5.csv
ENGINEERING   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2567.0,55450.0,21.6,86.0,7.csv
ENVIRONMENT/ECOLOGY   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2941.0,92088.0,31.31,101.0,8.csv
GEOSCIENCES   Show: Top,EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,1850.0,42158.0,22.79,38.0,9.csv
