institution,cosine_similarity,cluster
NANJING NORMAL UNIVERSITY,0.8899426218836828,2
BEIJING NORMAL UNIVERSITY,0.8676653474721808,2
UNIVERSITY OF VICTORIA,0.8581243926667894,2
TECHNICAL UNIVERSITY OF BERLIN,0.8453368820125632,2
LANZHOU UNIVERSITY,0.8351765442479756,2
GUANGZHOU UNIVERSITY,0.8342400522111371,2
SOUTH CHINA NORMAL UNIVERSITY,0.83295076584224,2
NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU),0.8247449876950202,2
SOUTHWEST UNIVERSITY - CHINA,0.8245781373823158,2
UNIVERSITY OF WATERLOO,0.8164001037894149,2
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),0.8135164883046274,2
SHANDONG NORMAL UNIVERSITY,0.81077404360781,2
NORTH CAROLINA STATE UNIVERSITY,0.8066912742697566,2
SHANDONG UNIVERSITY,0.804377686837633,2
SHANGHAI UNIVERSITY,0.7952283320659335,2
